Player 640 360 48 48 25 100 200 1000 3
Pistol 20 20 25 2000 30 20
Shotgun 10 10 25 250 1000 15 8
Rifle 15 15 25 2000 100 10 50
Launcher 50 50 10 1000 2000 5
Frag 5 5 30 100 18 50
Tile GreyWall 0 0 5 6 1 1
Tile GreyWall 0 0 6 6 1 1
Tile GreyWall 0 0 7 6 1 1
Tile GreyWall 0 0 8 6 1 1
Tile GreyWall 0 0 9 6 1 1
Tile GreyWall 0 0 10 6 1 1
Tile GreyWall 0 0 11 6 1 1
Tile GreyWall 0 0 12 6 1 1
Tile GreyWall 0 0 13 6 1 1
Tile GreyWall 0 0 14 6 1 1
Tile GreyWall 0 0 15 6 1 1
Tile GreyWall 0 0 16 6 1 1
Tile GreyWall 0 0 17 6 1 1
Tile GreyWall 0 0 18 6 1 1
Tile GreyWall 0 0 19 6 1 1
Tile GreyWall 0 0 20 6 1 1
Tile GreyWall 0 0 21 6 1 1
Tile GreyWall 0 0 22 6 1 1
Tile GreyWall 0 0 23 6 1 1
Tile GreyWall 0 0 24 6 1 1
Tile GreyWall 0 0 25 6 1 1
Tile GreyWall 0 0 26 6 1 1
Tile GreyWall 0 0 27 6 1 1
Tile GreyWall 0 0 28 6 1 1
Tile GreyWall 0 0 29 6 1 1
Tile GreyWall 0 0 30 6 1 1
Tile GreyWall 0 0 31 6 1 1
Tile GreyWall 0 0 32 6 1 1
Tile GreyWall 0 0 33 6 1 1
Tile GreyWall 0 0 34 6 1 1
Tile GreyWall 0 0 35 6 1 1
Tile GreyWall 0 0 36 6 1 1
Tile GreyWall 0 0 5 7 1 1
Tile GreyWall 0 0 36 7 1 1
Tile GreyWall 0 0 5 8 1 1
Tile GreyWall 0 0 36 8 1 1
Tile GreyWall 0 0 5 9 1 1
Tile GreyWall 0 0 36 9 1 1
Tile GreyWall 0 0 5 10 1 1
Tile GreyWall 0 0 36 10 0 0
Tile GreyWall 0 0 5 11 0 0
Tile GreyWall 0 0 36 11 0 0
Tile GreyWall 0 0 5 12 0 0
Tile GreyWall 0 0 36 12 0 0
Tile GreyWall 0 0 5 13 0 0
Tile GreyWall 0 0 36 13 0 0
Tile GreyWall 0 0 5 14 0 0
Tile GreyWall 0 0 36 14 0 0
Tile GreyWall 0 0 5 15 0 0
Tile GreyWall 0 0 36 15 0 0
Tile GreyWall 0 0 5 16 0 0
Tile GreyWall 0 0 36 16 0 0
Tile GreyWall 0 0 5 17 0 0
Tile GreyWall 0 0 36 17 0 0
Tile GreyWall 0 0 5 18 0 0
Tile GreyWall 0 0 36 18 0 0
Tile GreyWall 0 0 5 19 0 0
Tile GreyWall 0 0 36 19 0 0
Tile GreyWall 0 0 5 20 0 0
Tile GreyWall 0 0 36 20 0 0
Tile GreyWall 0 0 5 21 0 0
Tile GreyWall 0 0 36 21 0 0
Tile GreyWall 0 0 5 22 0 0
Tile GreyWall 0 0 36 22 0 0
Tile GreyWall 0 0 5 23 0 0
Tile GreyWall 0 0 36 23 0 0
Tile GreyWall 0 0 5 24 0 0
Tile GreyWall 0 0 36 24 0 0
Tile GreyWall 0 0 5 25 0 0
Tile GreyWall 0 0 36 25 0 0
Tile GreyWall 0 0 5 26 0 0
Tile GreyWall 0 0 36 26 0 0
Tile GreyWall 0 0 5 27 0 0
Tile GreyWall 0 0 36 27 0 0
Tile GreyWall 0 0 5 28 0 0
Tile GreyWall 0 0 36 28 0 0
Tile GreyWall 0 0 5 29 0 0
Tile GreyWall 0 0 36 29 0 0
Tile GreyWall 0 0 5 30 0 0
Tile GreyWall 0 0 36 30 0 0
Tile GreyWall 0 0 5 31 0 0
Tile GreyWall 0 0 36 31 0 0
Tile GreyWall 0 0 5 32 0 0
Tile GreyWall 0 0 36 32 0 0
Tile GreyWall 0 0 5 33 0 0
Tile GreyWall 0 0 36 33 0 0
Tile GreyWall 0 0 5 34 0 0
Tile GreyWall 0 0 36 34 0 0
Tile GreyWall 0 0 5 35 0 0
Tile GreyWall 0 0 6 35 0 0
Tile GreyWall 0 0 7 35 0 0
Tile GreyWall 0 0 8 35 0 0
Tile GreyWall 0 0 9 35 0 0
Tile GreyWall 0 0 10 35 0 0
Tile GreyWall 0 0 11 35 0 0
Tile GreyWall 0 0 12 35 0 0
Tile GreyWall 0 0 13 35 0 0
Tile GreyWall 0 0 14 35 0 0
Tile GreyWall 0 0 15 35 0 0
Tile GreyWall 0 0 16 35 0 0
Tile GreyWall 0 0 17 35 0 0
Tile GreyWall 0 0 18 35 0 0
Tile GreyWall 0 0 19 35 0 0
